channel,title,artist,url,timestamp
Poolsuite FM (Default),Blind (Frankie Knuckles Remix),Hercules & Love Affair,https://soundcloud.com/hercules-and-love-affair/blind-frankie-knuckles-remix,Fri Mar 10 11:55:27 2023
Poolsuite FM (Default),Love Your Days,Cherokee,https://soundcloud.com/cherokee-official/love-your-days,Fri Mar 10 11:55:57 2023
Poolsuite FM (Default),Enjoy Your Life - Oby Onyioha,Juvenilia,https://soundcloud.com/juvenilia/enjoy-your-life-oby-onyioha,Fri Mar 10 12:05:15 2023
Poolsuite FM (Default),Libano - Girls,Horeazon | Records,https://soundcloud.com/horeazon/02-girls,Fri Mar 10 12:05:43 2023
Poolsuite FM (Default),'Tomorrow' - Ntombi Ndaba,AfroSynth,https://soundcloud.com/afrosynth/tomorrow-ntombi-ndaba,Fri Apr 14 11:39:56 2023
Poolsuite FM (Default),Flávio La Barre & Kattch - Recalling,Stratford Ct.,https://soundcloud.com/stratfordct/flavio-la-barre-kattch-recalling,Fri Apr 14 11:40:23 2023
Poolsuite FM (Default),Sylvia Striplin - Give me your love (A Young Pulse Rework),Young Pulse,https://soundcloud.com/youngpulse/thursdayrework006,Fri Apr 14 11:44:15 2023
Poolsuite FM (Default),Arian - Your Love Makes Me A Winner,K€DL@FUNK,https://soundcloud.com/rico-kedlafunk/arian-your-love-makes-me-a,Fri Apr 14 11:47:22 2023
Poolsuite FM (Default),Elado - Blame,Gare du Nord,https://soundcloud.com/garedunord07/elado-blame,Fri Apr 14 11:53:28 2023
Poolsuite FM (Default),Saucy Lady - Passport To My Love,Razor-N-Tape,https://soundcloud.com/razor-n-tape/saucy-lady-passport-to-my-love,Fri Apr 14 11:55:01 2023
Poolsuite FM (Default),Saucy Lady - Passport To My Love,Razor-N-Tape,https://soundcloud.com/razor-n-tape/saucy-lady-passport-to-my-love,Fri Apr 14 12:02:54 2023
